date,recency
2022/06/26,310
2022/06/25,311
2022/06/24,312
2022/06/23,313
2022/06/22,314
2022/06/21,315
2022/06/20,316
2022/06/19,317
2022/06/18,318
2022/06/17,319
2022/06/16,320
2022/06/15,321
2022/06/14,322
2022/06/13,323
2022/06/12,324
2022/06/11,325
2022/06/10,326
2022/06/09,327
2022/06/08,328
2022/06/07,329
2022/06/06,330
2022/06/05,331
2022/06/04,332
2022/06/03,333
2022/06/02,334
2022/06/01,335
2022/05/31,336
2022/05/30,337
2022/05/29,338
2022/05/28,339
2022/05/27,340
2022/05/26,341
2022/05/25,342
2022/05/24,343
2022/05/23,344
2022/05/22,345
2022/05/21,346
2022/05/20,347
2022/05/19,348
2022/05/18,349
2022/05/17,350
2022/05/16,351
2022/05/15,352
2022/05/14,353
2022/05/13,354
2022/05/12,355
2022/05/11,356
2022/05/10,357
2022/05/09,358
2022/05/08,359
2022/05/07,360
2022/05/06,361
2022/05/05,362
2022/05/04,363
2022/05/03,364
2022/05/02,365
